nom_commune,code_postal,ville_cp
ANOUX,54150,ANOUX (54150)
ANSAUVILLE,54470,ANSAUVILLE (54470)
ANTHELUPT,54110,ANTHELUPT (54110)
ARMAUCOURT,54760,ARMAUCOURT (54760)
ARNAVILLE,54530,ARNAVILLE (54530)
ARRACOURT,54370,ARRACOURT (54370)
ARRAYE ET HAN,54760,ARRAYE ET HAN (54760)
ART SUR MEURTHE,54510,ART SUR MEURTHE (54510)
ATHIENVILLE,54370,ATHIENVILLE (54370)
ATTON,54700,ATTON (54700)
AUBOUE,54580,AUBOUE (54580)
AUDUN LE ROMAN,54560,AUDUN LE ROMAN (54560)
AUTREPIERRE,54450,AUTREPIERRE (54450)
AUTREVILLE SUR MOSELLE,54380,AUTREVILLE SUR MOSELLE (54380)
AUTREY,54160,AUTREY (54160)
AVILLERS,54490,AVILLERS (54490)
AVRAINVILLE,54385,AVRAINVILLE (54385)
AVRICOURT,54450,AVRICOURT (54450)
AVRIL,54150,AVRIL (54150)
AZELOT,54210,AZELOT (54210)
AZERAILLES,54122,AZERAILLES (54122)
BACCARAT,54120,BACCARAT (54120)
BADONVILLER,54540,BADONVILLER (54540)
BAGNEUX,54170,BAGNEUX (54170)
BAINVILLE AUX MIROIRS,54290,BAINVILLE AUX MIROIRS (54290)
BAINVILLE SUR MADON,54550,BAINVILLE SUR MADON (54550)
BARBAS,54450,BARBAS (54450)
BARBONVILLE,54360,BARBONVILLE (54360)
BARISEY AU PLAIN,54170,BARISEY AU PLAIN (54170)
BARISEY LA COTE,54170,BARISEY LA COTE (54170)
LES BAROCHES,54150,LES BAROCHES (54150)
BASLIEUX,54620,BASLIEUX (54620)
BATHELEMONT,54370,BATHELEMONT (54370)
BATILLY,54980,BATILLY (54980)
BATTIGNY,54115,BATTIGNY (54115)
BAUZEMONT,54370,BAUZEMONT (54370)
BAYON,54290,BAYON (54290)
BAYONVILLE SUR MAD,54890,BAYONVILLE SUR MAD (54890)
BAZAILLES,54620,BAZAILLES (54620)
BEAUMONT,54470,BEAUMONT (54470)
BECHAMPS,54800,BECHAMPS (54800)
BELLEAU,54610,BELLEAU (54610)
BELLEVILLE,54940,BELLEVILLE (54940)
BENAMENIL,54450,BENAMENIL (54450)
BENNEY,54740,BENNEY (54740)
BERNECOURT,54470,BERNECOURT (54470)
BERTRAMBOIS,54480,BERTRAMBOIS (54480)
BERTRICHAMPS,54120,BERTRICHAMPS (54120)
BETTAINVILLERS,54640,BETTAINVILLERS (54640)
BEUVEILLE,54620,BEUVEILLE (54620)
BEUVEZIN,54115,BEUVEZIN (54115)
BEUVILLERS,54560,BEUVILLERS (54560)
BEY SUR SEILLE,54760,BEY SUR SEILLE (54760)
BEZANGE LA GRANDE,54370,BEZANGE LA GRANDE (54370)
BEZAUMONT,54380,BEZAUMONT (54380)
BICQUELEY,54200,BICQUELEY (54200)
BIENVILLE LA PETITE,54300,BIENVILLE LA PETITE (54300)
BIONVILLE,54540,BIONVILLE (54540)
BLAINVILLE SUR L EAU,54360,BLAINVILLE SUR L EAU (54360)
BLAMONT,54450,BLAMONT (54450)
BLEMEREY,54450,BLEMEREY (54450)
BLENOD LES PONT A MOUSSON,54700,BLENOD LES PONT A MOUSSON (54700)
BLENOD LES TOUL,54113,BLENOD LES TOUL (54113)
BOISMONT,54620,BOISMONT (54620)
BONCOURT,54800,BONCOURT (54800)
BONVILLER,54300,BONVILLER (54300)
MONT BONVILLERS,54111,MONT BONVILLERS (54111)
BORVILLE,54290,BORVILLE (54290)
BOUCQ,54200,BOUCQ (54200)
BOUILLONVILLE,54470,BOUILLONVILLE (54470)
BOUVRON,54200,BOUVRON (54200)
BOUXIERES AUX CHENES,54770,BOUXIERES AUX CHENES (54770)
BOUXIERES AUX DAMES,54136,BOUXIERES AUX DAMES (54136)
BOUXIERES SOUS FROIDMONT,54700,BOUXIERES SOUS FROIDMONT (54700)
BOUZANVILLE,54930,BOUZANVILLE (54930)
BRAINVILLE,54800,BRAINVILLE (54800)
BRALLEVILLE,54740,BRALLEVILLE (54740)
BRATTE,54610,BRATTE (54610)
BREHAIN LA VILLE,54190,BREHAIN LA VILLE (54190)
BREMENIL,54540,BREMENIL (54540)
BREMONCOURT,54290,BREMONCOURT (54290)
VAL DE BRIEY,54150,VAL DE BRIEY (54150)
VAL DE BRIEY,54790,VAL DE BRIEY (54790)
BRIN SUR SEILLE,54280,BRIN SUR SEILLE (54280)
BROUVILLE,54120,BROUVILLE (54120)
BRULEY,54200,BRULEY (54200)
BRUVILLE,54800,BRUVILLE (54800)
BUISSONCOURT,54110,BUISSONCOURT (54110)
BULLIGNY,54113,BULLIGNY (54113)
BURES,54370,BURES (54370)
BURIVILLE,54450,BURIVILLE (54450)
BURTHECOURT AUX CHENES,54210,BURTHECOURT AUX CHENES (54210)
CEINTREY,54134,CEINTREY (54134)
CERVILLE,54420,CERVILLE (54420)
CHALIGNY,54230,CHALIGNY (54230)
CHAMBLEY BUSSIERES,54890,CHAMBLEY BUSSIERES (54890)
CHAMPENOUX,54280,CHAMPENOUX (54280)
CHAMPEY SUR MOSELLE,54700,CHAMPEY SUR MOSELLE (54700)
CHAMPIGNEULLES,54250,CHAMPIGNEULLES (54250)
CHANTEHEUX,54300,CHANTEHEUX (54300)
CHAOUILLEY,54330,CHAOUILLEY (54330)
CHARENCY VEZIN,54260,CHARENCY VEZIN (54260)
CHAREY,54470,CHAREY (54470)
CHARMES LA COTE,54113,CHARMES LA COTE (54113)
CHARMOIS,54360,CHARMOIS (54360)
CHAUDENEY SUR MOSELLE,54200,CHAUDENEY SUR MOSELLE (54200)
CHAVIGNY,54230,CHAVIGNY (54230)
CHAZELLES SUR ALBE,54450,CHAZELLES SUR ALBE (54450)
CHENEVIERES,54122,CHENEVIERES (54122)
CHENICOURT,54610,CHENICOURT (54610)
CHENIERES,54720,CHENIERES (54720)
CHOLOY MENILLOT,54200,CHOLOY MENILLOT (54200)
CIREY SUR VEZOUZE,54480,CIREY SUR VEZOUZE (54480)
CLAYEURES,54290,CLAYEURES (54290)
CLEMERY,54610,CLEMERY (54610)
CLEREY SUR BRENON,54330,CLEREY SUR BRENON (54330)
COINCOURT,54370,COINCOURT (54370)
COLMEY,54260,COLMEY (54260)
COLOMBEY LES BELLES,54170,COLOMBEY LES BELLES (54170)
CONFLANS EN JARNISY,54800,CONFLANS EN JARNISY (54800)
CONS LA GRANDVILLE,54870,CONS LA GRANDVILLE (54870)
COSNES ET ROMAIN,54400,COSNES ET ROMAIN (54400)
COURBESSEAUX,54110,COURBESSEAUX (54110)
COURCELLES,54930,COURCELLES (54930)
COYVILLER,54210,COYVILLER (54210)
CRANTENOY,54740,CRANTENOY (54740)
CREPEY,54170,CREPEY (54170)
CREVECHAMPS,54290,CREVECHAMPS (54290)
CREVIC,54110,CREVIC (54110)
CREZILLES,54113,CREZILLES (54113)
CRION,54300,CRION (54300)
CROISMARE,54300,CROISMARE (54300)
CRUSNES,54680,CRUSNES (54680)
CUSTINES,54670,CUSTINES (54670)
CUTRY,54720,CUTRY (54720)
DAMELEVIERES,54360,DAMELEVIERES (54360)
DAMPVITOUX,54470,DAMPVITOUX (54470)
DENEUVRE,54120,DENEUVRE (54120)
DEUXVILLE,54370,DEUXVILLE (54370)
DIARVILLE,54930,DIARVILLE (54930)
DIEULOUARD,54380,DIEULOUARD (54380)
DOLCOURT,54170,DOLCOURT (54170)
DOMBASLE SUR MEURTHE,54110,DOMBASLE SUR MEURTHE (54110)
DOMEVRE EN HAYE,54385,DOMEVRE EN HAYE (54385)
DOMEVRE SUR VEZOUZE,54450,DOMEVRE SUR VEZOUZE (54450)
DOMGERMAIN,54119,DOMGERMAIN (54119)
DOMJEVIN,54450,DOMJEVIN (54450)
DOMMARIE EULMONT,54115,DOMMARIE EULMONT (54115)
DOMMARTEMONT,54130,DOMMARTEMONT (54130)
DOMMARTIN LA CHAUSSEE,54470,DOMMARTIN LA CHAUSSEE (54470)
DOMMARTIN LES TOUL,54200,DOMMARTIN LES TOUL (54200)
DOMMARTIN SOUS AMANCE,54770,DOMMARTIN SOUS AMANCE (54770)
DOMPRIX,54490,DOMPRIX (54490)
DOMPTAIL EN L AIR,54290,DOMPTAIL EN L AIR (54290)
DONCOURT LES CONFLANS,54800,DONCOURT LES CONFLANS (54800)
DONCOURT LES LONGUYON,54620,DONCOURT LES LONGUYON (54620)
DROUVILLE,54370,DROUVILLE (54370)
ECROUVES,54200,ECROUVES (54200)
EINVAUX,54360,EINVAUX (54360)
EINVILLE AU JARD,54370,EINVILLE AU JARD (54370)
EMBERMENIL,54370,EMBERMENIL (54370)
EPIEZ SUR CHIERS,54260,EPIEZ SUR CHIERS (54260)
EPLY,54610,EPLY (54610)
ERBEVILLER SUR AMEZULE,54280,ERBEVILLER SUR AMEZULE (54280)
ERROUVILLE,54680,ERROUVILLE (54680)
ESSEY ET MAIZERAIS,54470,ESSEY ET MAIZERAIS (54470)
ESSEY LA COTE,54830,ESSEY LA COTE (54830)
ESSEY LES NANCY,54270,ESSEY LES NANCY (54270)
ETREVAL,54330,ETREVAL (54330)
EULMONT,54690,EULMONT (54690)
EUVEZIN,54470,EUVEZIN (54470)
FAULX,54760,FAULX (54760)
FAVIERES,54115,FAVIERES (54115)
FECOCOURT,54115,FECOCOURT (54115)
FENNEVILLER,54540,FENNEVILLER (54540)
FERRIERES,54210,FERRIERES (54210)
FEY EN HAYE,54470,FEY EN HAYE (54470)
FILLIERES,54560,FILLIERES (54560)
FLAINVAL,54110,FLAINVAL (54110)
FLAVIGNY SUR MOSELLE,54630,FLAVIGNY SUR MOSELLE (54630)
FLEVILLE DEVANT NANCY,54710,FLEVILLE DEVANT NANCY (54710)
FLEVILLE LIXIERES,54150,FLEVILLE LIXIERES (54150)
FLIN,54122,FLIN (54122)
FLIREY,54470,FLIREY (54470)
FONTENOY LA JOUTE,54122,FONTENOY LA JOUTE (54122)
FONTENOY SUR MOSELLE,54840,FONTENOY SUR MOSELLE (54840)
FORCELLES ST GORGON,54330,FORCELLES ST GORGON (54330)
FORCELLES SOUS GUGNEY,54930,FORCELLES SOUS GUGNEY (54930)
FOUG,54570,FOUG (54570)
FRAIMBOIS,54300,FRAIMBOIS (54300)
FRAISNES EN SAINTOIS,54930,FRAISNES EN SAINTOIS (54930)
FRANCHEVILLE,54200,FRANCHEVILLE (54200)
FRANCONVILLE,54830,FRANCONVILLE (54830)
FREMENIL,54450,FREMENIL (54450)
FREMONVILLE,54450,FREMONVILLE (54450)
FRESNOIS LA MONTAGNE,54260,FRESNOIS LA MONTAGNE (54260)
FRIAUVILLE,54800,FRIAUVILLE (54800)
FROLOIS,54160,FROLOIS (54160)
FROUARD,54390,FROUARD (54390)
FROVILLE,54290,FROVILLE (54290)
GELACOURT,54120,GELACOURT (54120)
GELAUCOURT,54115,GELAUCOURT (54115)
GELLENONCOURT,54110,GELLENONCOURT (54110)
GEMONVILLE,54115,GEMONVILLE (54115)
GERBECOURT ET HAPLEMONT,54740,GERBECOURT ET HAPLEMONT (54740)
GERBEVILLER,54830,GERBEVILLER (54830)
GERMINY,54170,GERMINY (54170)
GERMONVILLE,54740,GERMONVILLE (54740)
GEZONCOURT,54380,GEZONCOURT (54380)
GIBEAUMEIX,54112,GIBEAUMEIX (54112)
GIRAUMONT,54780,GIRAUMONT (54780)
GIRIVILLER,54830,GIRIVILLER (54830)
GLONVILLE,54122,GLONVILLE (54122)
GOGNEY,54450,GOGNEY (54450)
GONDRECOURT AIX,54800,GONDRECOURT AIX (54800)
GONDREVILLE,54840,GONDREVILLE (54840)
GONDREXON,54450,GONDREXON (54450)
GORCY,54730,GORCY (54730)
GOVILLER,54330,GOVILLER (54330)
GRAND FAILLY,54260,GRAND FAILLY (54260)
GRIMONVILLER,54115,GRIMONVILLER (54115)
GRIPPORT,54290,GRIPPORT (54290)
GRISCOURT,54380,GRISCOURT (54380)
GROSROUVRES,54470,GROSROUVRES (54470)
GUGNEY,54930,GUGNEY (54930)
GYE,54113,GYE (54113)
HABLAINVILLE,54120,HABLAINVILLE (54120)
HAGEVILLE,54470,HAGEVILLE (54470)
HAIGNEVILLE,54290,HAIGNEVILLE (54290)
HALLOVILLE,54450,HALLOVILLE (54450)
HAMMEVILLE,54330,HAMMEVILLE (54330)
HAMONVILLE,54470,HAMONVILLE (54470)
HANNONVILLE SUZEMONT,54800,HANNONVILLE SUZEMONT (54800)
HARAUCOURT,54110,HARAUCOURT (54110)
HARBOUEY,54450,HARBOUEY (54450)
HAROUE,54740,HAROUE (54740)
HATRIZE,54800,HATRIZE (54800)
HAUCOURT MOULAINE,54860,HAUCOURT MOULAINE (54860)
HAUDONVILLE,54830,HAUDONVILLE (54830)
HAUSSONVILLE,54290,HAUSSONVILLE (54290)
HEILLECOURT,54180,HEILLECOURT (54180)
HENAMENIL,54370,HENAMENIL (54370)
HERBEVILLER,54450,HERBEVILLER (54450)
HERIMENIL,54300,HERIMENIL (54300)
HERSERANGE,54440,HERSERANGE (54440)
HOEVILLE,54370,HOEVILLE (54370)
HOMECOURT,54310,HOMECOURT (54310)
HOUDELMONT,54330,HOUDELMONT (54330)
HOUDEMONT,54180,HOUDEMONT (54180)
HOUDREVILLE,54330,HOUDREVILLE (54330)
HOUSSEVILLE,54930,HOUSSEVILLE (54930)
HUDIVILLER,54110,HUDIVILLER (54110)
HUSSIGNY GODBRANGE,54590,HUSSIGNY GODBRANGE (54590)
IGNEY,54450,IGNEY (54450)
JAILLON,54200,JAILLON (54200)
JARNY,54800,JARNY (54800)
JARVILLE LA MALGRANGE,54140,JARVILLE LA MALGRANGE (54140)
JAULNY,54470,JAULNY (54470)
JEANDELAINCOURT,54114,JEANDELAINCOURT (54114)
JEANDELIZE,54800,JEANDELIZE (54800)
JEVONCOURT,54740,JEVONCOURT (54740)
JEZAINVILLE,54700,JEZAINVILLE (54700)
JOEUF,54240,JOEUF (54240)
JOLIVET,54300,JOLIVET (54300)
JOPPECOURT,54620,JOPPECOURT (54620)
JOUAVILLE,54800,JOUAVILLE (54800)
JOUDREVILLE,54490,JOUDREVILLE (54490)
JUVRECOURT,54370,JUVRECOURT (54370)
LABRY,54800,LABRY (54800)
LACHAPELLE,54120,LACHAPELLE (54120)
LAGNEY,54200,LAGNEY (54200)
LAITRE SOUS AMANCE,54770,LAITRE SOUS AMANCE (54770)
LAIX,54720,LAIX (54720)
LALOEUF,54115,LALOEUF (54115)
LAMATH,54300,LAMATH (54300)
LANDECOURT,54360,LANDECOURT (54360)
LANDREMONT,54380,LANDREMONT (54380)
LANDRES,54970,LANDRES (54970)
LANEUVELOTTE,54280,LANEUVELOTTE (54280)
LANEUVEVILLE AUX BOIS,54370,LANEUVEVILLE AUX BOIS (54370)
LANEUVEVILLE DERRIERE FOUG,54570,LANEUVEVILLE DERRIERE FOUG (54570)
LANEUVEVILLE DEVANT BAYON,54740,LANEUVEVILLE DEVANT BAYON (54740)
LANEUVEVILLE DEVANT NANCY,54410,LANEUVEVILLE DEVANT NANCY (54410)
LANFROICOURT,54760,LANFROICOURT (54760)
LANTEFONTAINE,54150,LANTEFONTAINE (54150)
LARONXE,54950,LARONXE (54950)
LAXOU,54520,LAXOU (54520)
LAY ST CHRISTOPHE,54690,LAY ST CHRISTOPHE (54690)
LAY ST REMY,54570,LAY ST REMY (54570)
LEBEUVILLE,54740,LEBEUVILLE (54740)
LEINTREY,54450,LEINTREY (54450)
LEMAINVILLE,54740,LEMAINVILLE (54740)
LEMENIL MITRY,54740,LEMENIL MITRY (54740)
LENONCOURT,54110,LENONCOURT (54110)
LESMENILS,54700,LESMENILS (54700)
LETRICOURT,54610,LETRICOURT (54610)
LEXY,54720,LEXY (54720)
LEYR,54760,LEYR (54760)
LIMEY REMENAUVILLE,54470,LIMEY REMENAUVILLE (54470)
LIRONVILLE,54470,LIRONVILLE (54470)
LIVERDUN,54460,LIVERDUN (54460)
LOISY,54700,LOISY (54700)
LONGLAVILLE,54810,LONGLAVILLE (54810)
LONGUYON,54260,LONGUYON (54260)
LONGWY,54400,LONGWY (54400)
LOREY,54290,LOREY (54290)
LOROMONTZEY,54290,LOROMONTZEY (54290)
LUBEY,54150,LUBEY (54150)
LUCEY,54200,LUCEY (54200)
LUDRES,54710,LUDRES (54710)
LUNEVILLE,54300,LUNEVILLE (54300)
LUPCOURT,54210,LUPCOURT (54210)
MAGNIERES,54129,MAGNIERES (54129)
MAIDIERES,54700,MAIDIERES (54700)
MAILLY SUR SEILLE,54610,MAILLY SUR SEILLE (54610)
MAIRY MAINVILLE,54150,MAIRY MAINVILLE (54150)
MAIXE,54370,MAIXE (54370)
MAIZIERES,54550,MAIZIERES (54550)
MALAVILLERS,54560,MALAVILLERS (54560)
MALLELOY,54670,MALLELOY (54670)
MALZEVILLE,54220,MALZEVILLE (54220)
MAMEY,54470,MAMEY (54470)
MANDRES AUX QUATRE TOURS,54470,MANDRES AUX QUATRE TOURS (54470)
MANGONVILLE,54290,MANGONVILLE (54290)
MANONCOURT EN VERMOIS,54210,MANONCOURT EN VERMOIS (54210)
MANONCOURT EN WOEVRE,54385,MANONCOURT EN WOEVRE (54385)
MANONVILLE,54385,MANONVILLE (54385)
MANONVILLER,54300,MANONVILLER (54300)
MARAINVILLER,54300,MARAINVILLER (54300)
MARBACHE,54820,MARBACHE (54820)
MARON,54230,MARON (54230)
MARS LA TOUR,54800,MARS LA TOUR (54800)
MARTHEMONT,54330,MARTHEMONT (54330)
MARTINCOURT,54380,MARTINCOURT (54380)
MATTEXEY,54830,MATTEXEY (54830)
MAXEVILLE,54320,MAXEVILLE (54320)
MAZERULLES,54280,MAZERULLES (54280)
MEHONCOURT,54360,MEHONCOURT (54360)
MENIL LA TOUR,54200,MENIL LA TOUR (54200)
MERCY LE BAS,54960,MERCY LE BAS (54960)
MERCY LE HAUT,54560,MERCY LE HAUT (54560)
MEREVILLE,54850,MEREVILLE (54850)
MERVILLER,54120,MERVILLER (54120)
MESSEIN,54850,MESSEIN (54850)
MEXY,54135,MEXY (54135)
MIGNEVILLE,54540,MIGNEVILLE (54540)
MILLERY,54670,MILLERY (54670)
MINORVILLE,54385,MINORVILLE (54385)
MOINEVILLE,54580,MOINEVILLE (54580)
MOIVRONS,54760,MOIVRONS (54760)
MONCEL LES LUNEVILLE,54300,MONCEL LES LUNEVILLE (54300)
MONCEL SUR SEILLE,54280,MONCEL SUR SEILLE (54280)
MONTAUVILLE,54700,MONTAUVILLE (54700)
MONTENOY,54760,MONTENOY (54760)
MONTIGNY,54540,MONTIGNY (54540)
MONTIGNY SUR CHIERS,54870,MONTIGNY SUR CHIERS (54870)
MONT L ETROIT,54170,MONT L ETROIT (54170)
MONT LE VIGNOBLE,54113,MONT LE VIGNOBLE (54113)
MONTREUX,54450,MONTREUX (54450)
MONT ST MARTIN,54350,MONT ST MARTIN (54350)
MONT SUR MEURTHE,54360,MONT SUR MEURTHE (54360)
MORFONTAINE,54920,MORFONTAINE (54920)
MORIVILLER,54830,MORIVILLER (54830)
MORVILLE SUR SEILLE,54700,MORVILLE SUR SEILLE (54700)
MOUACOURT,54370,MOUACOURT (54370)
MOUAVILLE,54800,MOUAVILLE (54800)
MOUSSON,54700,MOUSSON (54700)
MOUTIERS,54660,MOUTIERS (54660)
MOUTROT,54113,MOUTROT (54113)
MOYEN,54118,MOYEN (54118)
MURVILLE,54490,MURVILLE (54490)
NANCY,54000,NANCY (54000)
NANCY,54100,NANCY (54100)
NEUFMAISONS,54540,NEUFMAISONS (54540)
NEUVES MAISONS,54230,NEUVES MAISONS (54230)
NEUVILLER LES BADONVILLER,54540,NEUVILLER LES BADONVILLER (54540)
NEUVILLER SUR MOSELLE,54290,NEUVILLER SUR MOSELLE (54290)
NOMENY,54610,NOMENY (54610)
NONHIGNY,54450,NONHIGNY (54450)
NORROY LE SEC,54150,NORROY LE SEC (54150)
NORROY LES PONT A MOUSSON,54700,NORROY LES PONT A MOUSSON (54700)
NOVIANT AUX PRES,54385,NOVIANT AUX PRES (54385)
OCHEY,54170,OCHEY (54170)
OGEVILLER,54450,OGEVILLER (54450)
OGNEVILLE,54330,OGNEVILLE (54330)
OLLEY,54800,OLLEY (54800)
OMELMONT,54330,OMELMONT (54330)
ONVILLE,54890,ONVILLE (54890)
ORMES ET VILLE,54740,ORMES ET VILLE (54740)
OTHE,54260,OTHE (54260)
OZERAILLES,54150,OZERAILLES (54150)
PAGNEY DERRIERE BARINE,54200,PAGNEY DERRIERE BARINE (54200)
PAGNY SUR MOSELLE,54530,PAGNY SUR MOSELLE (54530)
PANNES,54470,PANNES (54470)
PAREY ST CESAIRE,54330,PAREY ST CESAIRE (54330)
PARROY,54370,PARROY (54370)
PARUX,54480,PARUX (54480)
PETIT FAILLY,54260,PETIT FAILLY (54260)
PETITMONT,54480,PETITMONT (54480)
PETTONVILLE,54120,PETTONVILLE (54120)
PEXONNE,54540,PEXONNE (54540)
PHLIN,54610,PHLIN (54610)
PIENNES,54490,PIENNES (54490)
PIERRE LA TREICHE,54200,PIERRE LA TREICHE (54200)
PIERRE PERCEE,54540,PIERRE PERCEE (54540)
PIERREPONT,54620,PIERREPONT (54620)
PIERREVILLE,54160,PIERREVILLE (54160)
POMPEY,54340,POMPEY (54340)
PONT A MOUSSON,54700,PONT A MOUSSON (54700)
PONT ST VINCENT,54550,PONT ST VINCENT (54550)
PORT SUR SEILLE,54700,PORT SUR SEILLE (54700)
PRAYE,54116,PRAYE (54116)
PRENY,54530,PRENY (54530)
PREUTIN HIGNY,54490,PREUTIN HIGNY (54490)
PULLIGNY,54160,PULLIGNY (54160)
PULNEY,54115,PULNEY (54115)
PULNOY,54425,PULNOY (54425)
PUXE,54800,PUXE (54800)
PUXIEUX,54800,PUXIEUX (54800)
QUEVILLONCOURT,54330,QUEVILLONCOURT (54330)
RAON LES LEAU,54540,RAON LES LEAU (54540)
RAUCOURT,54610,RAUCOURT (54610)
RAVILLE SUR SANON,54370,RAVILLE SUR SANON (54370)
RECHICOURT LA PETITE,54370,RECHICOURT LA PETITE (54370)
RECLONVILLE,54450,RECLONVILLE (54450)
REHAINVILLER,54300,REHAINVILLER (54300)
REHERREY,54120,REHERREY (54120)
REHON,54430,REHON (54430)
REILLON,54450,REILLON (54450)
REMBERCOURT SUR MAD,54470,REMBERCOURT SUR MAD (54470)
REMENOVILLE,54830,REMENOVILLE (54830)
REMEREVILLE,54110,REMEREVILLE (54110)
REMONCOURT,54370,REMONCOURT (54370)
REPAIX,54450,REPAIX (54450)
RICHARDMENIL,54630,RICHARDMENIL (54630)
ROGEVILLE,54380,ROGEVILLE (54380)
ROMAIN,54360,ROMAIN (54360)
ROSIERES AUX SALINES,54110,ROSIERES AUX SALINES (54110)
ROSIERES EN HAYE,54385,ROSIERES EN HAYE (54385)
ROUVES,54610,ROUVES (54610)
ROVILLE DEVANT BAYON,54290,ROVILLE DEVANT BAYON (54290)
ROYAUMEIX,54200,ROYAUMEIX (54200)
ROZELIEURES,54290,ROZELIEURES (54290)
SAFFAIS,54210,SAFFAIS (54210)
ST AIL,54580,ST AIL (54580)
ST BAUSSANT,54470,ST BAUSSANT (54470)
ST BOINGT,54290,ST BOINGT (54290)
ST CLEMENT,54950,ST CLEMENT (54950)
ST FIRMIN,54930,ST FIRMIN (54930)
STE GENEVIEVE,54700,STE GENEVIEVE (54700)
ST GERMAIN,54290,ST GERMAIN (54290)
ST JEAN LES LONGUYON,54260,ST JEAN LES LONGUYON (54260)
ST JULIEN LES GORZE,54470,ST JULIEN LES GORZE (54470)
ST MARCEL,54800,ST MARCEL (54800)
ST MARD,54290,ST MARD (54290)
ST MARTIN,54450,ST MARTIN (54450)
ST MAURICE AUX FORGES,54540,ST MAURICE AUX FORGES (54540)
ST MAX,54130,ST MAX (54130)
ST NICOLAS DE PORT,54210,ST NICOLAS DE PORT (54210)
STE POLE,54540,STE POLE (54540)
ST PANCRE,54730,ST PANCRE (54730)
ST REMIMONT,54740,ST REMIMONT (54740)
ST REMY AUX BOIS,54290,ST REMY AUX BOIS (54290)
ST SAUVEUR,54480,ST SAUVEUR (54480)
ST SUPPLET,54620,ST SUPPLET (54620)
SAIZERAIS,54380,SAIZERAIS (54380)
SANCY,54560,SANCY (54560)
SANZEY,54200,SANZEY (54200)
SAULNES,54650,SAULNES (54650)
SAULXEROTTE,54115,SAULXEROTTE (54115)
SAULXURES LES NANCY,54420,SAULXURES LES NANCY (54420)
SAULXURES LES VANNES,54170,SAULXURES LES VANNES (54170)
SAXON SION,54330,SAXON SION (54330)
SEICHAMPS,54280,SEICHAMPS (54280)
SEICHEPREY,54470,SEICHEPREY (54470)
SELAINCOURT,54170,SELAINCOURT (54170)
SERANVILLE,54830,SERANVILLE (54830)
SERRES,54370,SERRES (54370)
SERROUVILLE,54560,SERROUVILLE (54560)
SEXEY AUX FORGES,54550,SEXEY AUX FORGES (54550)
SIONVILLER,54300,SIONVILLER (54300)
SIVRY,54610,SIVRY (54610)
SOMMERVILLER,54110,SOMMERVILLER (54110)
SORNEVILLE,54280,SORNEVILLE (54280)
SPONVILLE,54800,SPONVILLE (54800)
TANCONVILLE,54480,TANCONVILLE (54480)
TANTONVILLE,54116,TANTONVILLE (54116)
TELLANCOURT,54260,TELLANCOURT (54260)
THELOD,54330,THELOD (54330)
THEY SOUS VAUDEMONT,54930,THEY SOUS VAUDEMONT (54930)
THEZEY ST MARTIN,54610,THEZEY ST MARTIN (54610)
THIAUCOURT REGNIEVILLE,54470,THIAUCOURT REGNIEVILLE (54470)
THIAVILLE SUR MEURTHE,54120,THIAVILLE SUR MEURTHE (54120)
THIEBAUMENIL,54300,THIEBAUMENIL (54300)
THIL,54880,THIL (54880)
THOREY LYAUTEY,54115,THOREY LYAUTEY (54115)
THUILLEY AUX GROSEILLES,54170,THUILLEY AUX GROSEILLES (54170)
THUMEREVILLE,54800,THUMEREVILLE (54800)
TIERCELET,54190,TIERCELET (54190)
TOMBLAINE,54510,TOMBLAINE (54510)
TONNOY,54210,TONNOY (54210)
TOUL,54200,TOUL (54200)
TRAMONT EMY,54115,TRAMONT EMY (54115)
TRAMONT LASSUS,54115,TRAMONT LASSUS (54115)
TRAMONT ST ANDRE,54115,TRAMONT ST ANDRE (54115)
TREMBLECOURT,54385,TREMBLECOURT (54385)
TRIEUX,54750,TRIEUX (54750)
TRONDES,54570,TRONDES (54570)
TRONVILLE,54800,TRONVILLE (54800)
TUCQUEGNIEUX,54640,TUCQUEGNIEUX (54640)
UGNY,54870,UGNY (54870)
URUFFE,54112,URUFFE (54112)
VACQUEVILLE,54540,VACQUEVILLE (54540)
VAL ET CHATILLON,54480,VAL ET CHATILLON (54480)
VALHEY,54370,VALHEY (54370)
VALLEROY,54910,VALLEROY (54910)
VALLOIS,54830,VALLOIS (54830)
VANDELAINVILLE,54890,VANDELAINVILLE (54890)
VANDELEVILLE,54115,VANDELEVILLE (54115)
VANDIERES,54121,VANDIERES (54121)
VANDOEUVRE LES NANCY,54500,VANDOEUVRE LES NANCY (54500)
VANNES LE CHATEL,54112,VANNES LE CHATEL (54112)
VARANGEVILLE,54110,VARANGEVILLE (54110)
VATHIMENIL,54122,VATHIMENIL (54122)
VAUCOURT,54370,VAUCOURT (54370)
VAUDEMONT,54330,VAUDEMONT (54330)
VAUDEVILLE,54740,VAUDEVILLE (54740)
VAUDIGNY,54740,VAUDIGNY (54740)
VAXAINVILLE,54120,VAXAINVILLE (54120)
VEHO,54450,VEHO (54450)
BOIS DE HAYE,54840,BOIS DE HAYE (54840)
VELAINE SOUS AMANCE,54280,VELAINE SOUS AMANCE (54280)
VELLE SUR MOSELLE,54290,VELLE SUR MOSELLE (54290)
VENEY,54540,VENEY (54540)
VENNEZEY,54830,VENNEZEY (54830)
VERDENAL,54450,VERDENAL (54450)
