nom_commune,code_postal,ville_cp
MASSIGNIEU DE RIVES,01300,MASSIGNIEU DE RIVES (01300)
MATAFELON GRANGES,01580,MATAFELON GRANGES (01580)
MEILLONNAS,01370,MEILLONNAS (01370)
MERIGNAT,01450,MERIGNAT (01450)
MESSIMY SUR SAONE,01480,MESSIMY SUR SAONE (01480)
MEXIMIEUX,01800,MEXIMIEUX (01800)
BOHAS MEYRIAT RIGNAT,01250,BOHAS MEYRIAT RIGNAT (01250)
MEZERIAT,01660,MEZERIAT (01660)
MIJOUX,01170,MIJOUX (01170)
MIJOUX,01410,MIJOUX (01410)
MIONNAY,01390,MIONNAY (01390)
MIRIBEL,01700,MIRIBEL (01700)
MISERIEUX,01600,MISERIEUX (01600)
MOGNENEINS,01140,MOGNENEINS (01140)
MONTAGNAT,01250,MONTAGNAT (01250)
MONTAGNIEU,01470,MONTAGNIEU (01470)
MONTANGES,01200,MONTANGES (01200)
MONTCEAUX,01090,MONTCEAUX (01090)
MONTCET,01310,MONTCET (01310)
LE MONTELLIER,01800,LE MONTELLIER (01800)
MONTHIEUX,01390,MONTHIEUX (01390)
MONTLUEL,01120,MONTLUEL (01120)
MONTMERLE SUR SAONE,01090,MONTMERLE SUR SAONE (01090)
MONTRACOL,01310,MONTRACOL (01310)
MONTREAL LA CLUSE,01460,MONTREAL LA CLUSE (01460)
MONTREVEL EN BRESSE,01340,MONTREVEL EN BRESSE (01340)
NURIEUX VOLOGNAT,01460,NURIEUX VOLOGNAT (01460)
MURS ET GELIGNIEUX,01300,MURS ET GELIGNIEUX (01300)
NANTUA,01130,NANTUA (01130)
NANTUA,01460,NANTUA (01460)
NEUVILLE LES DAMES,01400,NEUVILLE LES DAMES (01400)
NEUVILLE SUR AIN,01160,NEUVILLE SUR AIN (01160)
LES NEYROLLES,01130,LES NEYROLLES (01130)
NEYRON,01700,NEYRON (01700)
NIEVROZ,01120,NIEVROZ (01120)
NIVOLLET MONTGRIFFON,01230,NIVOLLET MONTGRIFFON (01230)
ONCIEU,01230,ONCIEU (01230)
ORDONNAZ,01510,ORDONNAZ (01510)
ORNEX,01210,ORNEX (01210)
OUTRIAZ,01430,OUTRIAZ (01430)
OYONNAX,01100,OYONNAX (01100)
OZAN,01190,OZAN (01190)
PARCIEUX,01600,PARCIEUX (01600)
PARVES ET NATTAGES,01300,PARVES ET NATTAGES (01300)
PERON,01630,PERON (01630)
PERONNAS,01960,PERONNAS (01960)
PEROUGES,01800,PEROUGES (01800)
PERREX,01540,PERREX (01540)
PEYRIAT,01430,PEYRIAT (01430)
PEYRIEU,01300,PEYRIEU (01300)
PEYZIEUX SUR SAONE,01140,PEYZIEUX SUR SAONE (01140)
PIRAJOUX,01270,PIRAJOUX (01270)
PIZAY,01120,PIZAY (01120)
PLAGNE,01130,PLAGNE (01130)
LE PLANTAY,01330,LE PLANTAY (01330)
POLLIAT,01310,POLLIAT (01310)
POLLIEU,01350,POLLIEU (01350)
PONCIN,01450,PONCIN (01450)
PONT D AIN,01160,PONT D AIN (01160)
PONT DE VAUX,01190,PONT DE VAUX (01190)
PONT DE VEYLE,01290,PONT DE VEYLE (01290)
PORT,01460,PORT (01460)
POUGNY,01550,POUGNY (01550)
POUILLAT,01250,POUILLAT (01250)
PREMEYZEL,01300,PREMEYZEL (01300)
PREMILLIEU,01110,PREMILLIEU (01110)
PREVESSIN MOENS,01280,PREVESSIN MOENS (01280)
PRIAY,01160,PRIAY (01160)
RAMASSE,01250,RAMASSE (01250)
RANCE,01390,RANCE (01390)
RELEVANT,01990,RELEVANT (01990)
REPLONGES,01750,REPLONGES (01750)
REVONNAS,01250,REVONNAS (01250)
REYRIEUX,01600,REYRIEUX (01600)
REYSSOUZE,01190,REYSSOUZE (01190)
RIGNIEUX LE FRANC,01800,RIGNIEUX LE FRANC (01800)
ROMANS,01400,ROMANS (01400)
ROSSILLON,01510,ROSSILLON (01510)
ST ALBAN,01450,ST ALBAN (01450)
ST ANDRE DE BAGE,01380,ST ANDRE DE BAGE (01380)
ST ANDRE DE CORCY,01390,ST ANDRE DE CORCY (01390)
ST ANDRE D HUIRIAT,01290,ST ANDRE D HUIRIAT (01290)
ST ANDRE LE BOUCHOUX,01240,ST ANDRE LE BOUCHOUX (01240)
ST ANDRE SUR VIEUX JONC,01960,ST ANDRE SUR VIEUX JONC (01960)
ST BENIGNE,01190,ST BENIGNE (01190)
GROSLEE ST BENOIT,01300,GROSLEE ST BENOIT (01300)
ST BERNARD,01600,ST BERNARD (01600)
STE CROIX,01120,STE CROIX (01120)
ST CYR SUR MENTHON,01380,ST CYR SUR MENTHON (01380)
ST DENIS LES BOURG,01000,ST DENIS LES BOURG (01000)
ST DENIS EN BUGEY,01500,ST DENIS EN BUGEY (01500)
ST DIDIER D AUSSIAT,01340,ST DIDIER D AUSSIAT (01340)
ST DIDIER DE FORMANS,01600,ST DIDIER DE FORMANS (01600)
ST DIDIER SUR CHALARONNE,01140,ST DIDIER SUR CHALARONNE (01140)
ST ELOI,01800,ST ELOI (01800)
ST ETIENNE DU BOIS,01370,ST ETIENNE DU BOIS (01370)
ST ETIENNE SUR CHALARONNE,01140,ST ETIENNE SUR CHALARONNE (01140)
ST ETIENNE SUR REYSSOUZE,01190,ST ETIENNE SUR REYSSOUZE (01190)
STE EUPHEMIE,01600,STE EUPHEMIE (01600)
ST GENIS POUILLY,01630,ST GENIS POUILLY (01630)
ST GENIS SUR MENTHON,01380,ST GENIS SUR MENTHON (01380)
ST GEORGES SUR RENON,01400,ST GEORGES SUR RENON (01400)
ST GERMAIN DE JOUX,01130,ST GERMAIN DE JOUX (01130)
ST GERMAIN LES PAROISSES,01300,ST GERMAIN LES PAROISSES (01300)
ST GERMAIN SUR RENON,01240,ST GERMAIN SUR RENON (01240)
ST JEAN DE GONVILLE,01630,ST JEAN DE GONVILLE (01630)
ST JEAN DE NIOST,01800,ST JEAN DE NIOST (01800)
ST JEAN DE THURIGNEUX,01390,ST JEAN DE THURIGNEUX (01390)
ST JEAN LE VIEUX,01640,ST JEAN LE VIEUX (01640)
ST JEAN SUR REYSSOUZE,01560,ST JEAN SUR REYSSOUZE (01560)
ST JEAN SUR VEYLE,01290,ST JEAN SUR VEYLE (01290)
STE JULIE,01150,STE JULIE (01150)
ST JULIEN SUR REYSSOUZE,01560,ST JULIEN SUR REYSSOUZE (01560)
ST JULIEN SUR VEYLE,01540,ST JULIEN SUR VEYLE (01540)
ST JUST,01250,ST JUST (01250)
ST LAURENT SUR SAONE,01750,ST LAURENT SUR SAONE (01750)
ST MARCEL,01390,ST MARCEL (01390)
ST MARTIN DE BAVEL,01510,ST MARTIN DE BAVEL (01510)
ST MARTIN DU FRENE,01430,ST MARTIN DU FRENE (01430)
ST MARTIN DU MONT,01160,ST MARTIN DU MONT (01160)
ST MARTIN LE CHATEL,01310,ST MARTIN LE CHATEL (01310)
ST MAURICE DE BEYNOST,01700,ST MAURICE DE BEYNOST (01700)
ST MAURICE DE GOURDANS,01800,ST MAURICE DE GOURDANS (01800)
ST MAURICE DE REMENS,01500,ST MAURICE DE REMENS (01500)
ST NIZIER LE BOUCHOUX,01560,ST NIZIER LE BOUCHOUX (01560)
ST NIZIER LE DESERT,01320,ST NIZIER LE DESERT (01320)
STE OLIVE,01330,STE OLIVE (01330)
ST PAUL DE VARAX,01240,ST PAUL DE VARAX (01240)
ST RAMBERT EN BUGEY,01230,ST RAMBERT EN BUGEY (01230)
ST REMY,01310,ST REMY (01310)
ST SORLIN EN BUGEY,01150,ST SORLIN EN BUGEY (01150)
ST SULPICE,01340,ST SULPICE (01340)
ST TRIVIER DE COURTES,01560,ST TRIVIER DE COURTES (01560)
ST TRIVIER SUR MOIGNANS,01990,ST TRIVIER SUR MOIGNANS (01990)
ST VULBAS,01150,ST VULBAS (01150)
SALAVRE,01270,SALAVRE (01270)
SAMOGNAT,01580,SAMOGNAT (01580)
SANDRANS,01400,SANDRANS (01400)
SAULT BRENAZ,01150,SAULT BRENAZ (01150)
SAUVERNY,01220,SAUVERNY (01220)
SAVIGNEUX,01480,SAVIGNEUX (01480)
SEGNY,01170,SEGNY (01170)
SEILLONNAZ,01470,SEILLONNAZ (01470)
SERGY,01630,SERGY (01630)
SERMOYER,01190,SERMOYER (01190)
SERRIERES DE BRIORD,01470,SERRIERES DE BRIORD (01470)
SERRIERES SUR AIN,01450,SERRIERES SUR AIN (01450)
SERVAS,01960,SERVAS (01960)
SERVIGNAT,01560,SERVIGNAT (01560)
SEYSSEL,01420,SEYSSEL (01420)
SIMANDRE SUR SURAN,01250,SIMANDRE SUR SURAN (01250)
SONTHONNAX LA MONTAGNE,01580,SONTHONNAX LA MONTAGNE (01580)
SOUCLIN,01150,SOUCLIN (01150)
SULIGNAT,01400,SULIGNAT (01400)
TALISSIEU,01510,TALISSIEU (01510)
TENAY,01230,TENAY (01230)
THIL,01120,THIL (01120)
THOIRY,01710,THOIRY (01710)
THOISSEY,01140,THOISSEY (01140)
TORCIEU,01230,TORCIEU (01230)
TOSSIAT,01250,TOSSIAT (01250)
TOUSSIEUX,01600,TOUSSIEUX (01600)
TRAMOYES,01390,TRAMOYES (01390)
LA TRANCLIERE,01160,LA TRANCLIERE (01160)
VAL REVERMONT,01370,VAL REVERMONT (01370)
